"filename", "language", "JavaScript", "HTML", "JSON", "SVG", "CSS", "comment", "blank", "total"
"d:\shared\battleship_game\index.html", "HTML", 0, 13, 0, 0, 0, 0, 3, 16
"d:\shared\battleship_game\package-lock.json", "JSON", 0, 0, 4237, 0, 0, 0, 1, 4238
"d:\shared\battleship_game\package.json", "JSON", 0, 0, 26, 0, 0, 0, 1, 27
"d:\shared\battleship_game\public\assets\images\aim.svg", "SVG", 0, 0, 0, 29, 0, 0, 0, 29
"d:\shared\battleship_game\public\assets\images\backgroundimage.svg", "SVG", 0, 0, 0, 3394, 0, 0, 68, 3462
"d:\shared\battleship_game\public\assets\images\battleship-icon.svg", "SVG", 0, 0, 0, 422, 0, 0, 19, 441
"d:\shared\battleship_game\public\assets\images\battleship.svg", "SVG", 0, 0, 0, 860, 0, 0, 35, 895
"d:\shared\battleship_game\public\assets\images\carrier-icon.svg", "SVG", 0, 0, 0, 299, 0, 0, 17, 316
"d:\shared\battleship_game\public\assets\images\carrier.svg", "SVG", 0, 0, 0, 860, 0, 0, 35, 895
"d:\shared\battleship_game\public\assets\images\checkmark-icon.svg", "SVG", 0, 0, 0, 1, 0, 0, 0, 1
"d:\shared\battleship_game\public\assets\images\cruiser-icon.svg", "SVG", 0, 0, 0, 165, 0, 0, 24, 189
"d:\shared\battleship_game\public\assets\images\cruiser.svg", "SVG", 0, 0, 0, 798, 0, 0, 41, 839
"d:\shared\battleship_game\public\assets\images\destroyer-icon.svg", "SVG", 0, 0, 0, 97, 0, 0, 17, 114
"d:\shared\battleship_game\public\assets\images\destroyer.svg", "SVG", 0, 0, 0, 526, 0, 0, 41, 567
"d:\shared\battleship_game\public\assets\images\enemy-board.svg", "SVG", 0, 0, 0, 1466, 0, 0, 62, 1528
"d:\shared\battleship_game\public\assets\images\flames.svg", "SVG", 0, 0, 0, 40, 0, 0, 4, 44
"d:\shared\battleship_game\public\assets\images\hit.svg", "SVG", 0, 0, 0, 1, 0, 0, 0, 1
"d:\shared\battleship_game\public\assets\images\human-board.svg", "SVG", 0, 0, 0, 2443, 0, 0, 449, 2892
"d:\shared\battleship_game\public\assets\images\logo.svg", "SVG", 0, 0, 0, 6807, 0, 0, 1221, 8028
"d:\shared\battleship_game\public\assets\images\miss.svg", "SVG", 0, 0, 0, 33, 0, 0, 3, 36
"d:\shared\battleship_game\public\assets\images\page-background.svg", "SVG", 0, 0, 0, 1982, 0, 0, 317, 2299
"d:\shared\battleship_game\public\assets\images\papyrus-turn.svg", "SVG", 0, 0, 0, 8611, 0, 1, 523, 9135
